FLNC MAP2K4
ACTN2 MYPN
ACVR1 FNTA
GATA2 PML
RPA2 STAT3
ARF1 GGA3
ARF3 ARFIP2
ARF3 ARFIP1
ALDOA XRN1
APP APPBP2
APLP1 DAB1
CITED2 TFAP2A
EP300 TFAP2A
APOB MTTP
ARRB2 RALGDS
CSF1R GRB2
GRB2 PRRC2A
LSM1 NARS
SLC4A1 SLC4A1AP
BARD1 BCL3
ADRB1 GIPC1
ATF1 BRCA1
BRCA1 MSH2
BARD1 BRCA1
BRCA1 MSH6
ARVCF CDH15
CACNA1C PCBD1
CAPN1 PSEN2
CAPN3 TTN
CA8 ITPR1
CTNNB1 MAGI1
CUX1 RB1
CDKN1A TSG101
MCM2 ORC1
MCM2 ORC4
MCM2 MCM5
CDC7 MCM2
MCM2 ORC2
MCM2 RPA2
DBF4 MCM2
AKAP8 MCM2
MCM2 RPA1
MCM2 RPA3
MCM2 ORC5
MCM2 MCM3
CDC25A YWHAZ
CDC42 DOCK8
CDC42 TRIP10
CDK2 CDKN3
RBBP8 RBL1
CENPB HAND2
CLTC HGS
COL1A1 IGFBP3
COL1A1 TXN
ATF2 SMAD3
ATF2 SMAD4
CCND3 EIF3K
CCNB1 RALBP1
CAMLG PPIB
CSK INSR
CSK IGF1R
DCN EGFR
ARNT SIM2
ARNT SIM1
ARNT NPAS4
HBEGF ZBTB16
GADD45A PCNA
TOP2B TOPBP1
DRD3 FLNA
LSM3 SNRPE
LSM4 SNRPE
LSM5 SNRPE
EGR1 EP300
CREBBP EGR1
EPB41 NUMA1
EEF1A1 EXOSC4
EEF1A1 PLCG1
EEF1D KTN1
ANXA5 KDR
ESR1 PPARGC1B
ESR1 SMARCA4
DDX54 ESR1
DNTTIP2 ESR1
FDPS FGFR1
FNTA TGFB1
FAS SUMO1
FTL MPP6
FGA PRRC2A
FLNA ITGB1
FGFR1 FRS3
GABARAP GABRG2
NR3C1 SFN
NR3C1 TGFB1I1
ECD NR3C1
GCK PFKFB2
DPH1 HSPA5
KPNA2 SLC2A2
DAXX SLC2A4
GRIK2 SDCBP
GRIK2 PICK1
GRIK1 PICK1
GRIK1 SDCBP
CCNT1 GRN
GNAZ RGS19
GNAO1 RGS19
GNAI2 RGS19
GNAI3 RGS19
HSF2 UBE2I
LIMK1 NRG1
FGF7 HSPG2
MAD2L2 PRRC2A
P4HA2 PRRC2A
CCR10 PRRC2A
C1QBP PRRC2A
EIF3E PRRC2A
GANAB PRRC2A
HNRNPA1 PRRC2A
PRRC2A PSMA3
HNRNPM PRRC2A
MAN2C1 PRRC2A
PRRC2A SSR3
DDX20 PRRC2A
PRRC2A UBAP2L
IMMT PRRC2A
CPSF1 PRRC2A
PRMT2 PRRC2A
PRRC2A QARS
IFT88 PRRC2A
BAG6 XRN1
HTT SETD2
HAP1 HTT
HTT ZDHHC17
HTT HYPK
HTT TRIP10
MEF2D YWHAQ
HAND2 TCF3
ID3 TCF3
IGF1R IRS1
IGF1R YWHAE
IGF1R SOCS1
IRS1 PTK2
IRS1 MAPK8
INSR IRS1
IL1A NDN
JAK2 PRMT5
JAK2 SOCS1
BYSL KRT8
CBL KRT18
DNAJB6 KRT18
LMNA LMNB1
LMNA SREBF1
LMNA NARF
BCR MLLT4
BCL2 BNIPL
BCL2 BNIP2
BCL2 SMN1
BCL2 TP53BP2
BCL2 RTN4
BCL2 BECN1
LYL1 NFKB1
PTPRC SKAP1
ALOX5 COTL1
VAV1 XRCC6
NCF4 XRCC6
XRCC5 XRCC6
MRE11A XRCC6
LEF1 PIAS4
LEF1 MITF
DHDDS LOX
SRSF9 YBX1
ATRNL1 MC4R
ATF7IP MBD1
CHAF1A MBD1
MITF PIAS3
MITF PATZ1
MITF UBE2I
ANP32A MAP1B
MCM7 ORC1
MCM7 RB1
DBF4 MCM7
CDC7 MCM7
MCM7 ORC3
MCM7 RPA1
FHL2 MCM7
MCM7 ORC2
MCM7 ORC5
NOV POLR2L
KMT2A PPIE
KMT2A PPP1R15A
MLLT4 RAP1GAP
MLLT4 PVRL1
MLLT4 PFN1
MYPN NEB
NGFR PRKACB
LSM7 NPY1R
SNCA SNCAIP
EPB41L1 NUMA1
MAP3K8 NFKB1
FOS RELA
PIAS3 RELA
RELA RNF25
PPP1R13L RELA
FEN1 HNRNPA1
MCRS1 NOP2
DAXX ETS1
AKT2 APPL1
CDK10 ETS2
CTTN SHANK2
CTTN WIPF1
CSF1R SOCS1
SKI SNW1
NRAS RAP1GDS1
GLMN MET
FOXG1 KDM5B
EZH2 VAV1
PPP4C REL
FLT1 SHC1
