percent pertubation_type Round CV AUC AUPR
1 network Round--0 CV--1 0.81698 0.54901
1 network Round--0 CV--2 0.84906 0.57984
1 network Round--0 CV--3 0.84247 0.58652
1 network Round--0 CV--4 0.86703 0.64093
1 network Round--0 CV--5 0.84205 0.58414
1 network Round--1 CV--1 0.83934 0.58233
1 network Round--1 CV--2 0.85128 0.58311
1 network Round--1 CV--3 0.85088 0.57776
1 network Round--1 CV--4 0.84112 0.59862
1 network Round--1 CV--5 0.84811 0.60776
1 network Round--2 CV--1 0.82690 0.55774
1 network Round--2 CV--2 0.84418 0.56530
1 network Round--2 CV--3 0.85236 0.62584
1 network Round--2 CV--4 0.84097 0.58196
1 network Round--2 CV--5 0.87550 0.61362
1 network Round--3 CV--1 0.84848 0.59978
1 network Round--3 CV--2 0.84364 0.60675
1 network Round--3 CV--3 0.84903 0.61767
1 network Round--3 CV--4 0.82489 0.54454
1 network Round--3 CV--5 0.84255 0.57812
1 network Round--4 CV--1 0.85582 0.63957
1 network Round--4 CV--2 0.84753 0.58389
1 network Round--4 CV--3 0.83044 0.58014
1 network Round--4 CV--4 0.82025 0.58653
1 network Round--4 CV--5 0.83402 0.55458
1 network Round--5 CV--1 0.82765 0.57562
1 network Round--5 CV--2 0.85649 0.63386
1 network Round--5 CV--3 0.83801 0.52157
1 network Round--5 CV--4 0.83302 0.56185
1 network Round--5 CV--5 0.84415 0.60623
1 network Round--6 CV--1 0.82919 0.57366
1 network Round--6 CV--2 0.85554 0.61218
1 network Round--6 CV--3 0.85283 0.55718
1 network Round--6 CV--4 0.82808 0.52999
1 network Round--6 CV--5 0.84742 0.58308
1 network Round--7 CV--1 0.82040 0.56103
1 network Round--7 CV--2 0.84159 0.56883
1 network Round--7 CV--3 0.81888 0.49658
1 network Round--7 CV--4 0.83688 0.58444
1 network Round--7 CV--5 0.84507 0.58685
1 network Round--8 CV--1 0.84185 0.62096
1 network Round--8 CV--2 0.83838 0.55414
1 network Round--8 CV--3 0.84046 0.59819
1 network Round--8 CV--4 0.84216 0.58517
1 network Round--8 CV--5 0.83472 0.57861
1 network Round--9 CV--1 0.82928 0.58206
1 network Round--9 CV--2 0.84641 0.60644
1 network Round--9 CV--3 0.85278 0.61881
1 network Round--9 CV--4 0.84248 0.57230
1 network Round--9 CV--5 0.82807 0.54296
0.75 network Round--0 CV--1 0.86663 0.68626
0.75 network Round--0 CV--2 0.87672 0.71736
0.75 network Round--0 CV--3 0.87493 0.69882
0.75 network Round--0 CV--4 0.87991 0.71516
0.75 network Round--0 CV--5 0.86544 0.67572
0.75 network Round--1 CV--1 0.86040 0.68438
0.75 network Round--1 CV--2 0.86259 0.65075
0.75 network Round--1 CV--3 0.87106 0.68453
0.75 network Round--1 CV--4 0.86803 0.67360
0.75 network Round--1 CV--5 0.86317 0.68415
0.75 network Round--2 CV--1 0.86518 0.68999
0.75 network Round--2 CV--2 0.87539 0.68789
0.75 network Round--2 CV--3 0.86990 0.68246
0.75 network Round--2 CV--4 0.87821 0.70655
0.75 network Round--2 CV--5 0.89196 0.73240
