percent pertubation_type Round CV AUC AUPR
1 network Round--0 CV--1 0.48047 0.20805
1 network Round--0 CV--2 0.49419 0.20947
1 network Round--0 CV--3 0.48506 0.21416
1 network Round--0 CV--4 0.49634 0.21049
1 network Round--0 CV--5 0.49514 0.20688
1 network Round--1 CV--1 0.49088 0.20419
1 network Round--1 CV--2 0.49024 0.22265
1 network Round--1 CV--3 0.48595 0.20875
1 network Round--1 CV--4 0.50779 0.22032
1 network Round--1 CV--5 0.49984 0.21031
1 network Round--2 CV--1 0.46187 0.19627
1 network Round--2 CV--2 0.50388 0.21803
1 network Round--2 CV--3 0.48516 0.20209
1 network Round--2 CV--4 0.48389 0.21245
1 network Round--2 CV--5 0.53946 0.22772
1 network Round--3 CV--1 0.47811 0.20441
1 network Round--3 CV--2 0.46052 0.19479
1 network Round--3 CV--3 0.50204 0.21774
1 network Round--3 CV--4 0.46959 0.20888
1 network Round--3 CV--5 0.46548 0.19919
1 network Round--4 CV--1 0.46539 0.20210
1 network Round--4 CV--2 0.46873 0.19677
1 network Round--4 CV--3 0.50563 0.21712
1 network Round--4 CV--4 0.48540 0.21429
1 network Round--4 CV--5 0.49439 0.21028
1 network Round--5 CV--1 0.49663 0.22379
1 network Round--5 CV--2 0.49666 0.20607
1 network Round--5 CV--3 0.51175 0.22233
1 network Round--5 CV--4 0.47481 0.20757
1 network Round--5 CV--5 0.49888 0.21392
1 network Round--6 CV--1 0.46307 0.20410
1 network Round--6 CV--2 0.48073 0.20521
1 network Round--6 CV--3 0.48780 0.20241
1 network Round--6 CV--4 0.46832 0.19660
1 network Round--6 CV--5 0.48989 0.20594
1 network Round--7 CV--1 0.46900 0.20043
1 network Round--7 CV--2 0.51514 0.22480
1 network Round--7 CV--3 0.50286 0.22203
1 network Round--7 CV--4 0.52909 0.23087
1 network Round--7 CV--5 0.48752 0.21127
1 network Round--8 CV--1 0.47458 0.19879
1 network Round--8 CV--2 0.50360 0.21977
1 network Round--8 CV--3 0.51437 0.22204
1 network Round--8 CV--4 0.46505 0.20424
1 network Round--8 CV--5 0.51316 0.22587
1 network Round--9 CV--1 0.48276 0.20757
1 network Round--9 CV--2 0.48480 0.20991
1 network Round--9 CV--3 0.51457 0.22133
1 network Round--9 CV--4 0.48836 0.22087
1 network Round--9 CV--5 0.48580 0.20332
0.75 network Round--0 CV--1 0.74012 0.51973
0.75 network Round--0 CV--2 0.74299 0.54618
0.75 network Round--0 CV--3 0.75577 0.55096
0.75 network Round--0 CV--4 0.77401 0.59261
0.75 network Round--0 CV--5 0.72827 0.54513
0.75 network Round--1 CV--1 0.72163 0.53788
0.75 network Round--1 CV--2 0.72759 0.52817
0.75 network Round--1 CV--3 0.75991 0.56013
0.75 network Round--1 CV--4 0.73664 0.53991
0.75 network Round--1 CV--5 0.72907 0.52900
0.75 network Round--2 CV--1 0.76457 0.57992
0.75 network Round--2 CV--2 0.74338 0.53276
0.75 network Round--2 CV--3 0.74546 0.58081
0.75 network Round--2 CV--4 0.72675 0.55068
0.75 network Round--2 CV--5 0.73246 0.55682
0.75 network Round--3 CV--1 0.69776 0.50459
0.75 network Round--3 CV--2 0.74382 0.56119
0.75 network Round--3 CV--3 0.73906 0.55994
0.75 network Round--3 CV--4 0.73466 0.53982
0.75 network Round--3 CV--5 0.71279 0.48466
0.75 network Round--4 CV--1 0.72864 0.56303
0.75 network Round--4 CV--2 0.74128 0.57462
0.75 network Round--4 CV--3 0.72081 0.52658
0.75 network Round--4 CV--4 0.71238 0.51593
0.75 network Round--4 CV--5 0.76155 0.55787
0.75 network Round--5 CV--1 0.73718 0.53995
0.75 network Round--5 CV--2 0.72337 0.48814
0.75 network Round--5 CV--3 0.72142 0.54715
0.75 network Round--5 CV--4 0.71816 0.50921
0.75 network Round--5 CV--5 0.74519 0.55697
0.75 network Round--6 CV--1 0.74377 0.56565
0.75 network Round--6 CV--2 0.74508 0.54692
0.75 network Round--6 CV--3 0.71996 0.52613
0.75 network Round--6 CV--4 0.73063 0.55931
0.75 network Round--6 CV--5 0.74199 0.57667
0.75 network Round--7 CV--1 0.72357 0.52451
0.75 network Round--7 CV--2 0.71737 0.51147
0.75 network Round--7 CV--3 0.72848 0.52772
