percent pertubation_type Round CV AUC AUPR
1 network Round--0 CV--1 0.51922 0.22199
1 network Round--0 CV--2 0.52015 0.22584
1 network Round--0 CV--3 0.48556 0.21098
1 network Round--0 CV--4 0.51339 0.22343
1 network Round--0 CV--5 0.45926 0.19252
1 network Round--1 CV--1 0.51033 0.22923
1 network Round--1 CV--2 0.48638 0.20425
1 network Round--1 CV--3 0.50690 0.20861
1 network Round--1 CV--4 0.48419 0.20946
1 network Round--1 CV--5 0.53252 0.23796
1 network Round--2 CV--1 0.50411 0.22115
1 network Round--2 CV--2 0.53005 0.24494
1 network Round--2 CV--3 0.48162 0.21308
1 network Round--2 CV--4 0.53052 0.23493
1 network Round--2 CV--5 0.49590 0.21170
1 network Round--3 CV--1 0.49453 0.21512
1 network Round--3 CV--2 0.51328 0.23415
1 network Round--3 CV--3 0.50826 0.22104
1 network Round--3 CV--4 0.50618 0.21787
1 network Round--3 CV--5 0.49569 0.21577
1 network Round--4 CV--1 0.48834 0.20976
1 network Round--4 CV--2 0.49271 0.21470
1 network Round--4 CV--3 0.50085 0.22385
1 network Round--4 CV--4 0.48388 0.21837
1 network Round--4 CV--5 0.49405 0.21860
1 network Round--5 CV--1 0.50341 0.21786
1 network Round--5 CV--2 0.49458 0.22521
1 network Round--5 CV--3 0.50634 0.22148
1 network Round--5 CV--4 0.50083 0.21762
1 network Round--5 CV--5 0.51264 0.22870
1 network Round--6 CV--1 0.49484 0.21399
1 network Round--6 CV--2 0.49388 0.21381
1 network Round--6 CV--3 0.50561 0.22011
1 network Round--6 CV--4 0.51250 0.22337
1 network Round--6 CV--5 0.52584 0.23735
1 network Round--7 CV--1 0.48905 0.22473
1 network Round--7 CV--2 0.45587 0.20049
1 network Round--7 CV--3 0.48062 0.21317
1 network Round--7 CV--4 0.49798 0.21453
1 network Round--7 CV--5 0.50461 0.21934
1 network Round--8 CV--1 0.48655 0.20798
1 network Round--8 CV--2 0.50490 0.21830
1 network Round--8 CV--3 0.50743 0.22253
1 network Round--8 CV--4 0.51587 0.23441
1 network Round--8 CV--5 0.50740 0.21965
1 network Round--9 CV--1 0.45707 0.19622
1 network Round--9 CV--2 0.50543 0.21107
1 network Round--9 CV--3 0.49933 0.21411
1 network Round--9 CV--4 0.48362 0.20737
1 network Round--9 CV--5 0.51265 0.22817
0.75 network Round--0 CV--1 0.72976 0.52847
0.75 network Round--0 CV--2 0.66758 0.39665
0.75 network Round--0 CV--3 0.76258 0.57215
0.75 network Round--0 CV--4 0.69097 0.39919
0.75 network Round--0 CV--5 0.64160 0.34003
0.75 network Round--1 CV--1 0.75765 0.59065
0.75 network Round--1 CV--2 0.74467 0.56384
0.75 network Round--1 CV--3 0.76013 0.57503
0.75 network Round--1 CV--4 0.74601 0.55068
0.75 network Round--1 CV--5 0.68410 0.41698
0.75 network Round--2 CV--1 0.74301 0.55166
0.75 network Round--2 CV--2 0.78608 0.59564
0.75 network Round--2 CV--3 0.73760 0.56774
0.75 network Round--2 CV--4 0.74798 0.57367
