percent pertubation_type Round CV AUC AUPR
1 network Round--0 CV--1 0.82869 0.57269
1 network Round--0 CV--2 0.85147 0.60038
1 network Round--0 CV--3 0.85471 0.61519
1 network Round--0 CV--4 0.85952 0.63908
1 network Round--0 CV--5 0.83534 0.56801
1 network Round--1 CV--1 0.84408 0.59476
1 network Round--1 CV--2 0.85019 0.57810
1 network Round--1 CV--3 0.85624 0.58796
1 network Round--1 CV--4 0.85331 0.62154
1 network Round--1 CV--5 0.84400 0.59262
1 network Round--2 CV--1 0.84630 0.60226
1 network Round--2 CV--2 0.84920 0.58671
1 network Round--2 CV--3 0.85341 0.62566
1 network Round--2 CV--4 0.84191 0.56886
1 network Round--2 CV--5 0.87329 0.61083
1 network Round--3 CV--1 0.84713 0.60688
1 network Round--3 CV--2 0.84367 0.56919
1 network Round--3 CV--3 0.84943 0.61998
1 network Round--3 CV--4 0.83667 0.56427
1 network Round--3 CV--5 0.83940 0.58209
1 network Round--4 CV--1 0.84499 0.61111
1 network Round--4 CV--2 0.86186 0.61737
1 network Round--4 CV--3 0.83499 0.58335
1 network Round--4 CV--4 0.82213 0.56535
1 network Round--4 CV--5 0.84519 0.56810
1 network Round--5 CV--1 0.83958 0.61528
1 network Round--5 CV--2 0.84701 0.60960
1 network Round--5 CV--3 0.85399 0.61595
1 network Round--5 CV--4 0.83393 0.60727
1 network Round--5 CV--5 0.83173 0.59443
1 network Round--6 CV--1 0.83280 0.56516
1 network Round--6 CV--2 0.85565 0.59675
1 network Round--6 CV--3 0.86374 0.59616
1 network Round--6 CV--4 0.83696 0.55329
1 network Round--6 CV--5 0.85095 0.60798
1 network Round--7 CV--1 0.82614 0.56960
1 network Round--7 CV--2 0.85185 0.61479
1 network Round--7 CV--3 0.83950 0.56216
1 network Round--7 CV--4 0.83826 0.57957
1 network Round--7 CV--5 0.84037 0.59386
1 network Round--8 CV--1 0.83435 0.58833
1 network Round--8 CV--2 0.84336 0.56582
1 network Round--8 CV--3 0.84319 0.60843
1 network Round--8 CV--4 0.84052 0.57018
1 network Round--8 CV--5 0.84710 0.59782
1 network Round--9 CV--1 0.83083 0.57384
1 network Round--9 CV--2 0.84358 0.61392
1 network Round--9 CV--3 0.85205 0.60611
1 network Round--9 CV--4 0.84093 0.59463
1 network Round--9 CV--5 0.83203 0.58784
0.75 network Round--0 CV--1 0.86602 0.68220
0.75 network Round--0 CV--2 0.87063 0.68224
0.75 network Round--0 CV--3 0.86723 0.66871
0.75 network Round--0 CV--4 0.88175 0.70731
0.75 network Round--0 CV--5 0.87212 0.68553
0.75 network Round--1 CV--1 0.85991 0.65868
0.75 network Round--1 CV--2 0.86842 0.65793
0.75 network Round--1 CV--3 0.86312 0.65225
0.75 network Round--1 CV--4 0.85831 0.64701
0.75 network Round--1 CV--5 0.85062 0.63253
0.75 network Round--2 CV--1 0.86294 0.67192
