"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","324/2197","499/18888",0.649298597194389,5.5821355957249,37.6352229614652,2.93273919534742e-182,1.47575436309882e-178,1.26632591361212e-178,"26574/6059/29777/103/166378/79029/54955/545/9790/23246/55299/84811/114049/705/128061/708/79577/51550/1207/10978/8161/11052/51340/1662/8886/11218/9188/9416/55661/7919/1654/11325/9879/51202/54555/317781/11056/79039/54606/8562/22907/57647/1660/27292/22894/1736/30836/29102/10969/79631/1964/8894/1968/8661/8662/8664/3646/8665/8666/8667/8668/8669/10480/9775/1983/9669/3692/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/51077/117246/54433/8487/50628/25929/79833/79760/54960/29889/54552/83743/2971/23560/55127/3320/27336/55272/92856/81875/57461/11103/81887/55341/57819/25804/11157/220064/84946/51747/84549/28985/23195/196074/79066/64745/10199/84769/51081/51154/26164/23517/10514/55226/4686/25983/55651/84365/51388/54475/51068/28987/26155/79050/79954/25926/65083/51406/55035/79707/9221/64434/55505/8602/51491/4839/29997/10528/51602/161424/121053/4869/10412/387338/11051/26747/4927/4931/5036/55003/22984/27043/23481/84844/5303/56902/5433/10775/51367/10248/56342/8575/10419/8559/27339/9129/26121/55015/24148/10594/10728/22827/11137/5822/83640/5901/51634/10171/83732/55781/80135/84154/6134/4736/6135/23521/9045/6147/6154/51121/6155/11224/6165/6169/6125/6128/6129/6130/6175/10556/10557/10799/6205/6206/6207/6208/6209/6210/6217/6223/91582/6227/6228/6229/6230/6191/6193/6194/6201/6202/6203/3921/54700/8568/23223/51018/88745/27341/9136/23212/26156/8607/10856/9092/9733/51119/55153/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6433/55164/10569/79753/23020/6627/6628/6629/6631/6632/6633/6634/6636/4809/153443/6426/10772/6431/8683/11171/6838/10607/64216/96764/55319/51504/55720/90121/10907/11338/9875/9816/57602/10713/51118/10813/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/134430/23160/9277/54853/54663/84128/79084/56949/7514/7520/22803/55702/91746/51042/26149/9326/54680/8233",324
"GO:0042254","GO:0042254","ribosome biogenesis","225/2197","319/18888",0.705329153605016,6.06384026094289,33.0930214536869,2.11922984659464e-137,5.33198229403212e-134,4.57530570038485e-134,"26574/6059/29777/166378/79029/54955/9790/23246/55299/114049/705/128061/708/51550/1662/8886/9188/55661/1654/51202/54555/317781/11056/79039/54606/22907/57647/27292/22894/1736/30836/29102/10969/79631/1964/9775/1983/9669/3692/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/51077/117246/54433/50628/29889/54552/83743/2971/23560/55127/55272/92856/81875/11103/81887/55341/11157/220064/84946/84549/23195/196074/79066/64745/10199/84769/51081/51154/26164/23517/10514/55226/25983/55651/84365/51388/54475/51068/28987/26155/79050/79954/25926/65083/51406/55035/79707/9221/64434/55505/8602/51491/4839/29997/10528/51602/161424/4869/10412/387338/4927/4931/5036/55003/22984/27043/23481/5303/56902/10775/51367/10248/56342/11137/5822/5901/10171/83732/55781/80135/84154/6134/4736/6135/9045/6147/6154/51121/6155/11224/6165/6169/6125/6128/6129/6130/6175/10556/10557/10799/6205/6206/6207/6208/6209/6210/6217/6223/91582/6227/6228/6229/6230/6191/6193/6194/6201/6202/6203/3921/54700/8568/23223/51018/88745/27341/9136/23212/26156/9092/51119/55153/163859/55164/4809/153443/6838/10607/64216/55319/51504/55720/90121/9875/9816/57602/51118/10813/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/134430/23160/9277/54853/54663/84128/7514/7520/22803/51042/26149/9326/54680",225
"GO:0016072","GO:0016072","rRNA metabolic process","183/2197","266/18888",0.68796992481203,5.91459988158836,29.2867488601555,2.22296623087012e-108,3.72865535791281e-105,3.1995113961506e-105,"29777/9790/23246/2972/55299/114049/705/1662/1663/8886/9188/55661/51202/54555/317781/11056/79039/54606/57647/27292/22894/1736/29102/10969/9775/3692/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/51077/117246/54433/50628/2971/2975/2976/9330/9329/9328/23560/55127/55272/92856/64768/11103/81887/11157/84549/4141/196074/79066/10199/51154/2475/23517/55226/4691/25983/55651/84365/28987/79050/79954/25926/65083/51406/55035/79707/9221/55505/8602/4839/29997/10528/51602/161424/10412/387338/4931/5036/22984/53918/27043/23481/5303/84172/51082/64425/221830/10849/5434/10775/51367/10248/56342/11137/5822/10171/83732/55781/80135/84154/4736/6135/9045/6154/6155/11224/6165/6125/6129/6130/10556/10557/10799/6208/6209/6217/6223/6227/6229/6230/6194/6201/6202/8568/23223/51018/88745/27341/9136/23212/26156/9092/51119/163859/55164/6598/4809/153443/9014/10607/6949/64216/51504/55720/90121/9875/57602/51118/10813/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/134430/23160/9277/54853/54663/84128/54464/22803/9326/54680",183
"GO:0008380","GO:0008380","RNA splicing","250/2197","484/18888",0.516528925619835,4.44069110018545,27.8206705034756,4.33127062333143e-107,5.44873844415094e-104,4.6754926570804e-104,"22985/79026/10189/9716/79637/10286/84811/8896/708/79074/51759/58509/22794/57018/51362/988/51755/338657/9541/11129/1196/1207/10978/8161/51340/56259/57703/54883/143884/51163/11218/9416/7919/51428/11325/9879/51202/1655/1665/8449/9785/1659/1660/55192/11319/9343/10209/9775/56943/8220/5394/8487/50628/25929/79833/79760/54960/55094/27238/3178/144983/3183/3187/3190/3191/4670/3192/3312/27336/3550/57461/2648/84967/57819/27258/25804/23658/11157/51690/51691/51747/4116/57721/79066/56339/4236/10199/23517/4686/22916/4691/4869/55051/84081/4928/26986/94104/10081/84844/5356/5411/5430/10450/51645/23759/5511/5515/5518/151987/23398/79706/3276/10419/8899/8559/27339/9129/26121/84950/55119/55015/9128/55660/24148/10594/22827/10137/10432/84991/9904/55696/58517/55131/9584/79171/84060/83759/9939/27316/51634/494115/7737/55599/10921/6207/51493/51637/10284/9092/9733/58506/79005/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6421/6433/112869/54407/10569/10285/55234/79753/23020/79622/11017/11066/9410/154007/6625/6627/6628/6629/6631/6632/6633/6634/6636/4809/22938/6651/285672/10250/23524/6426/10772/9295/6427/6428/6431/6432/8683/11171/57794/10147/6830/25949/6881/6883/23435/10915/24144/96764/9984/57187/84321/8563/79228/80145/9967/6434/8295/80746/79042/283989/8458/10907/54957/7307/11338/59286/5976/10713/25962/51729/79084/84292/9589/56949/4904/55702/81576/91746/339487/23091/85437/153527/55954/91603/8882/9406/8233",250
"GO:0034470","GO:0034470","ncRNA processing","231/2197","433/18888",0.533487297921478,4.5864852449435,27.3912159530842,1.15630661297741e-102,1.16370697530046e-99,9.98562047670176e-100,"16/29777/103/113179/9790/23246/55299/114049/705/79074/10978/348180/1662/8886/9188/55661/51202/54555/1655/317781/11056/79039/54606/54487/57647/27292/22894/1736/285381/29102/10969/9775/3692/60528/8518/55250/55140/26610/23587/54859/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/51077/117246/54433/50628/23560/55127/3028/55272/92856/26173/54973/57117/57508/65123/92105/80789/26512/25896/55656/55756/3735/11103/112970/8270/81887/79727/11157/84549/196074/79066/56339/27304/10199/51154/123263/25821/23517/55226/4686/22916/25983/55651/84365/28987/79050/79954/25926/65083/51406/55035/79707/9221/55505/8602/4839/29997/10528/51602/161424/10412/387338/9631/4931/55644/5036/22984/27043/23481/5303/87178/10940/10775/51367/10248/56342/8575/9692/26024/11137/5822/10171/83732/55781/7737/80135/84154/4736/6135/9045/6154/6155/11224/6165/6125/6129/6130/11102/79897/138716/10556/10557/10799/6208/6209/6217/6223/6227/6229/6230/6194/6201/6202/8568/23223/51018/88745/27341/9136/23212/26156/51493/51637/6301/9092/51119/163859/55164/79753/4809/51490/153443/51593/6428/6741/10607/11022/64216/54974/112858/51002/54931/51504/57570/51095/80746/79042/283989/55720/90121/64852/9875/81605/57602/51118/10813/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/134430/23160/9277/54853/54663/84128/22803/79693/339487/9326/54680",231
"GO:0006364","GO:0006364","rRNA processing","160/2197","224/18888",0.714285714285714,6.1408414071136,28.0809109699163,1.01206026762258e-98,8.48781211112808e-96,7.28328283822428e-96,"29777/9790/23246/55299/114049/705/1662/8886/9188/55661/51202/54555/317781/11056/79039/54606/57647/27292/22894/1736/29102/10969/9775/3692/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/51077/117246/54433/50628/23560/55127/55272/92856/11103/81887/11157/84549/196074/79066/10199/51154/23517/55226/25983/55651/84365/28987/79050/79954/25926/65083/51406/55035/79707/9221/55505/8602/4839/29997/10528/51602/161424/10412/387338/4931/5036/22984/27043/23481/5303/10775/51367/10248/56342/11137/5822/10171/83732/55781/80135/84154/4736/6135/9045/6154/6155/11224/6165/6125/6129/6130/10556/10557/10799/6208/6209/6217/6223/6227/6229/6230/6194/6201/6202/8568/23223/51018/88745/27341/9136/23212/26156/9092/51119/163859/55164/4809/153443/10607/64216/51504/55720/90121/9875/57602/51118/10813/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/134430/23160/9277/54853/54663/84128/22803/9326/54680",160
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","184/2197","341/18888",0.539589442815249,4.63894647059373,24.6020536176902,1.30019830840543e-82,9.34656841128015e-80,8.020170618164e-80,"9716/10286/84811/8896/708/51759/58509/22794/51362/988/338657/1207/8161/51340/56259/57703/54883/143884/51163/11218/9416/7919/51428/11325/9879/1655/1665/8449/9785/1659/1660/55192/9343/10209/9775/8220/5394/8487/50628/25929/79833/79760/54960/55094/27238/3178/144983/3183/3187/3190/3191/4670/3192/3312/27336/3550/57461/57819/27258/25804/23658/11157/51690/51691/51747/4116/57721/79066/56339/4236/10199/23517/4686/22916/4691/4869/84081/4928/26986/94104/84844/5356/5411/10450/51645/23398/10419/8899/8559/27339/9129/26121/84950/55015/9128/55660/24148/10594/22827/10432/84991/9904/55696/58517/9584/79171/83759/9939/27316/51634/494115/7737/55599/10921/10284/9092/9733/79005/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6421/6433/10569/10285/55234/79753/23020/79622/11017/11066/9410/6625/6627/6628/6629/6631/6632/6633/6634/6636/4809/22938/6651/10250/23524/6426/10772/6427/6428/6431/6432/8683/11171/25949/24144/96764/9967/6434/10907/54957/7307/11338/59286/5976/10713/79084/84292/9589/56949/55702/81576/91746/85437/153527/8233",184
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","182/2197","337/18888",0.540059347181009,4.64298632205503,24.4818463769435,8.6110900930155e-82,4.81455614978378e-79,4.1313089545672e-79,"9716/10286/84811/8896/708/51759/58509/22794/51362/988/338657/1207/8161/51340/56259/57703/54883/143884/51163/11218/9416/7919/51428/11325/9879/1655/1665/8449/9785/1659/1660/55192/9343/10209/9775/8220/5394/8487/50628/25929/79833/79760/54960/55094/27238/3178/144983/3183/3187/3190/3191/4670/3192/3312/27336/3550/57461/57819/27258/25804/23658/11157/51690/51691/51747/4116/57721/79066/56339/4236/23517/4686/22916/4691/4869/84081/4928/26986/94104/84844/5356/5411/10450/51645/23398/10419/8899/8559/27339/9129/26121/84950/55015/9128/55660/24148/10594/22827/10432/84991/9904/55696/58517/9584/79171/83759/9939/27316/51634/494115/7737/55599/10921/10284/9092/9733/79005/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6421/6433/10569/55234/79753/23020/79622/11017/11066/9410/6625/6627/6628/6629/6631/6632/6633/6634/6636/4809/22938/6651/10250/23524/6426/10772/6427/6428/6431/6432/8683/11171/25949/24144/96764/9967/6434/10907/54957/7307/11338/59286/5976/10713/79084/84292/9589/56949/55702/81576/91746/85437/153527/8233",182
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","182/2197","337/18888",0.540059347181009,4.64298632205503,24.4818463769435,8.6110900930155e-82,4.81455614978378e-79,4.1313089545672e-79,"9716/10286/84811/8896/708/51759/58509/22794/51362/988/338657/1207/8161/51340/56259/57703/54883/143884/51163/11218/9416/7919/51428/11325/9879/1655/1665/8449/9785/1659/1660/55192/9343/10209/9775/8220/5394/8487/50628/25929/79833/79760/54960/55094/27238/3178/144983/3183/3187/3190/3191/4670/3192/3312/27336/3550/57461/57819/27258/25804/23658/11157/51690/51691/51747/4116/57721/79066/56339/4236/23517/4686/22916/4691/4869/84081/4928/26986/94104/84844/5356/5411/10450/51645/23398/10419/8899/8559/27339/9129/26121/84950/55015/9128/55660/24148/10594/22827/10432/84991/9904/55696/58517/9584/79171/83759/9939/27316/51634/494115/7737/55599/10921/10284/9092/9733/79005/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6421/6433/10569/55234/79753/23020/79622/11017/11066/9410/6625/6627/6628/6629/6631/6632/6633/6634/6636/4809/22938/6651/10250/23524/6426/10772/6427/6428/6431/6432/8683/11171/25949/24144/96764/9967/6434/10907/54957/7307/11338/59286/5976/10713/79084/84292/9589/56949/55702/81576/91746/85437/153527/8233",182
"GO:0071826","GO:0071826","protein-RNA complex organization","138/2197","244/18888",0.565573770491803,4.8623383600588,22.0308383336034,1.94520440128191e-65,9.78826854725056e-63,8.39918784637725e-63,"29777/103/545/23246/55299/84811/79577/1207/10978/8161/11052/51340/11218/9416/7919/11325/9879/8562/22907/1659/1660/55192/8894/1968/8661/8662/8664/3646/8665/8666/8667/8668/8669/10480/1983/3692/8487/50628/25929/79833/79760/54960/3320/27336/57461/57819/25804/51747/28985/23195/51081/4686/54475/4839/29997/121053/11051/26747/84844/5433/56342/8575/10419/8559/27339/9129/26121/55015/24148/10594/10728/22827/5822/83640/51634/84154/6134/6135/23521/6147/6169/6125/6128/6175/6208/6209/6223/6193/3921/27341/23212/8607/10856/9092/9733/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6433/55164/10569/79753/23020/6627/6628/6629/6631/6632/6633/6634/6636/4809/6426/10772/6431/8683/11171/24144/96764/10907/11338/10713/7415/79084/56949/7520/55702/91746/9326/54680/8233",138
