PC Round AUC AUPR
100 Round--0 0.92676 0.80595
100 Round--0 0.94102 0.83745
100 Round--0 0.92886 0.83316
100 Round--0 0.91995 0.80225
100 Round--0 0.91229 0.79125
100 Round--1 0.92460 0.79230
100 Round--1 0.90674 0.80396
100 Round--1 0.92481 0.83788
100 Round--1 0.91925 0.78744
100 Round--1 0.91195 0.77843
100 Round--2 0.90802 0.75542
100 Round--2 0.91286 0.79416
100 Round--2 0.93035 0.80968
100 Round--2 0.90874 0.79457
100 Round--2 0.91393 0.79482
100 Round--3 0.90191 0.77539
100 Round--3 0.92221 0.77725
100 Round--3 0.91363 0.80404
100 Round--3 0.93121 0.78906
100 Round--3 0.91793 0.75648
100 Round--4 0.89668 0.77587
100 Round--4 0.92341 0.82703
100 Round--4 0.91778 0.77711
100 Round--4 0.92538 0.79903
100 Round--4 0.89957 0.75580
100 Round--5 0.92649 0.76893
100 Round--5 0.92064 0.80334
100 Round--5 0.91082 0.77785
100 Round--5 0.90588 0.75956
100 Round--5 0.92046 0.78709
100 Round--6 0.92193 0.81001
100 Round--6 0.90588 0.76088
100 Round--6 0.92036 0.81080
100 Round--6 0.91251 0.79045
100 Round--6 0.91462 0.79544
100 Round--7 0.92640 0.79112
100 Round--7 0.90703 0.76110
100 Round--7 0.90735 0.74481
100 Round--7 0.92910 0.80516
100 Round--7 0.91838 0.79812
100 Round--8 0.92538 0.81018
100 Round--8 0.92715 0.84009
100 Round--8 0.92082 0.78382
100 Round--8 0.91840 0.79092
100 Round--8 0.92122 0.78042
100 Round--9 0.90107 0.78938
100 Round--9 0.90137 0.78426
100 Round--9 0.91322 0.79718
100 Round--9 0.92611 0.81238
100 Round--9 0.93263 0.82891
10 Round--0 0.92073 0.81332
10 Round--0 0.92552 0.80851
10 Round--0 0.91762 0.80772
10 Round--0 0.91561 0.81154
10 Round--0 0.89960 0.77142
10 Round--1 0.91777 0.80071
10 Round--1 0.90254 0.78846
10 Round--1 0.92130 0.81166
10 Round--1 0.89665 0.76928
10 Round--1 0.89247 0.74904
10 Round--2 0.89090 0.75307
10 Round--2 0.90787 0.77887
10 Round--2 0.91037 0.77735
10 Round--2 0.89727 0.79207
10 Round--2 0.90394 0.77678
10 Round--3 0.89888 0.74268
10 Round--3 0.89956 0.74080
10 Round--3 0.90056 0.77796
10 Round--3 0.91625 0.78277
10 Round--3 0.90445 0.77984
10 Round--4 0.89509 0.76136
10 Round--4 0.92101 0.79695
10 Round--4 0.90393 0.74729
10 Round--4 0.91444 0.78988
10 Round--4 0.88017 0.72621
10 Round--5 0.92243 0.80620
10 Round--5 0.90690 0.78071
10 Round--5 0.89745 0.77031
10 Round--5 0.89518 0.75096
10 Round--5 0.90899 0.74728
10 Round--6 0.90768 0.75629
10 Round--6 0.90085 0.79848
10 Round--6 0.91222 0.77138
10 Round--6 0.90176 0.77444
10 Round--6 0.91745 0.79397
10 Round--7 0.90877 0.76812
10 Round--7 0.89597 0.75357
10 Round--7 0.90073 0.77750
10 Round--7 0.90987 0.80078
10 Round--7 0.90648 0.78577
10 Round--8 0.90888 0.78475
10 Round--8 0.90443 0.76805
10 Round--8 0.90806 0.76335
10 Round--8 0.91078 0.80087
10 Round--8 0.90698 0.77482
10 Round--9 0.89004 0.78232
10 Round--9 0.89610 0.77509
10 Round--9 0.90410 0.77675
10 Round--9 0.91544 0.77512
10 Round--9 0.90841 0.78206
50 Round--0 0.92867 0.82571
50 Round--0 0.92786 0.80753
50 Round--0 0.92812 0.83991
50 Round--0 0.92281 0.84056
50 Round--0 0.90410 0.79319
50 Round--1 0.92709 0.80560
50 Round--1 0.90638 0.77140
50 Round--1 0.92096 0.83454
50 Round--1 0.91367 0.80735
50 Round--1 0.91415 0.79431
50 Round--2 0.91850 0.78186
50 Round--2 0.91308 0.78488
50 Round--2 0.93117 0.82552
50 Round--2 0.90601 0.82391
50 Round--2 0.91071 0.80950
50 Round--3 0.89764 0.78345
50 Round--3 0.92305 0.76597
50 Round--3 0.91360 0.78736
50 Round--3 0.92689 0.80856
50 Round--3 0.91509 0.81475
50 Round--4 0.90916 0.77045
50 Round--4 0.92550 0.82887
50 Round--4 0.92955 0.81420
50 Round--4 0.92335 0.81486
50 Round--4 0.90233 0.79526
50 Round--5 0.92243 0.80127
50 Round--5 0.91841 0.80102
50 Round--5 0.91077 0.77154
50 Round--5 0.90811 0.78343
50 Round--5 0.92180 0.77864
50 Round--6 0.92420 0.82324
50 Round--6 0.90963 0.77182
50 Round--6 0.92161 0.81275
50 Round--6 0.90604 0.77136
50 Round--6 0.91640 0.76442
50 Round--7 0.92818 0.81538
50 Round--7 0.90917 0.79143
50 Round--7 0.90133 0.79574
50 Round--7 0.93025 0.83100
50 Round--7 0.92382 0.83699
50 Round--8 0.92080 0.78893
50 Round--8 0.92999 0.84839
50 Round--8 0.91213 0.78120
50 Round--8 0.91866 0.80929
50 Round--8 0.91772 0.79200
50 Round--9 0.90357 0.79623
50 Round--9 0.89084 0.76638
50 Round--9 0.91785 0.80847
50 Round--9 0.92152 0.82980
50 Round--9 0.93188 0.84471
150 Round--0 0.91826 0.78388
150 Round--0 0.93326 0.80947
150 Round--0 0.92531 0.81777
150 Round--0 0.91701 0.80479
150 Round--0 0.90660 0.76144
150 Round--1 0.91228 0.74344
150 Round--1 0.90505 0.74013
150 Round--1 0.92255 0.80745
150 Round--1 0.90709 0.76289
150 Round--1 0.91444 0.77428
