nodes edges methods memory_usage
10000 1000000 EMOGI 6.95703
10000 1000000 GAT 9.16016
10000 1000000 GCN 6.87891
10000 1000000 MTGCN 8.89258
10000 1000000 SVM 0.0527344
10000 1200000 GCN 8.25781
10000 1200000 MTGCN 9.24023
10000 1200000 SVM 0.0585938
10000 1400000 MTGCN 8.32617
10000 1400000 SVM 0.0644531
10000 1600000 MTGCN 8.63477
10000 1600000 SVM 0.0703125
10000 1800000 SVM 0.0761719
10000 2000000 SVM 0.0820312
10000 200000 EMOGI 1.47656
10000 200000 GAT 1.90234
10000 200000 GCN 1.44336
10000 200000 MTGCN 1.55859
10000 200000 SVM 0.0214844
10000 3000000 SVM 0.111328
10000 400000 EMOGI 2.83789
10000 400000 GAT 3.72461
10000 400000 GCN 2.80078
10000 400000 MTGCN 3.64648
10000 400000 SVM 0.0351562
10000 600000 EMOGI 4.21875
10000 600000 GAT 5.53125
10000 600000 GCN 4.16406
10000 600000 MTGCN 6.7793
10000 600000 SVM 0.0410156
10000 800000 EMOGI 5.5918
10000 800000 GAT 7.35156
10000 800000 GCN 5.51367
10000 800000 MTGCN 7.13867
10000 800000 SVM 0.046875
15000 1000000 EMOGI 6.99219
15000 1000000 GAT 9.19531
15000 1000000 GCN 6.92383
15000 1000000 MTGCN 6.04297
15000 1000000 SVM 0.0527344
15000 1200000 GCN 8.26953
15000 1200000 MTGCN 7.46484
15000 1200000 SVM 0.0585938
15000 1400000 MTGCN 8.40625
15000 1400000 SVM 0.0644531
15000 1600000 MTGCN 9.51172
15000 1600000 SVM 0.0703125
15000 1800000 SVM 0.0761719
15000 2000000 SVM 0.0820312
15000 200000 EMOGI 1.5293
15000 200000 GAT 1.95312
15000 200000 GCN 1.49023
15000 200000 MTGCN 1.97852
15000 200000 SVM 0.0214844
15000 3000000 SVM 0.111328
15000 400000 EMOGI 2.89258
15000 400000 GAT 3.76953
15000 400000 GCN 2.8418
15000 400000 MTGCN 3.72266
15000 400000 SVM 0.0351562
15000 600000 EMOGI 4.24609
15000 600000 GAT 5.57031
15000 600000 GCN 4.19531
15000 600000 MTGCN 5.44336
15000 600000 SVM 0.0410156
15000 800000 EMOGI 5.62695
15000 800000 GAT 7.39648
15000 800000 GCN 5.55469
15000 800000 MTGCN 9.05273
15000 800000 SVM 0.046875
20000 1000000 EMOGI 7.03516
20000 1000000 GAT 9.24023
20000 1000000 GCN 6.95117
20000 1000000 MTGCN 6.06055
20000 1000000 SVM 0.0449219
20000 1200000 GCN 8.31445
20000 1200000 MTGCN 7.2168
20000 1200000 SVM 0.0507812
20000 1400000 MTGCN 8.37109
20000 1400000 SVM 0.0566406
20000 1600000 SVM 0.0625
20000 1800000 SVM 0.0683594
20000 2000000 SVM 0.0742188
20000 200000 EMOGI 1.57422
20000 200000 GAT 1.98242
20000 200000 GCN 1.51172
20000 200000 MTGCN 1.51172
20000 200000 SVM 0.0214844
20000 3000000 SVM 0.103516
20000 400000 EMOGI 2.9375
20000 400000 GAT 3.80273
20000 400000 GCN 2.875
20000 400000 MTGCN 2.80664
20000 400000 SVM 0.0273438
20000 600000 EMOGI 4.30859
20000 600000 GAT 5.61523
20000 600000 GCN 4.24609
20000 600000 MTGCN 5.53711
20000 600000 SVM 0.0332031
20000 800000 EMOGI 5.67188
20000 800000 GAT 7.43359
20000 800000 GCN 5.59961
20000 800000 MTGCN 9.1543
20000 800000 SVM 0.0390625
25000 1000000 EMOGI 7.07812
25000 1000000 GAT 9.29102
25000 1000000 GCN 6.98242
25000 1000000 MTGCN 6.11133
25000 1000000 SVM 0.0488281
25000 1200000 GCN 8.3457
25000 1200000 MTGCN 7.30859
25000 1200000 SVM 0.0546875
25000 1400000 MTGCN 8.45898
25000 1400000 SVM 0.0605469
25000 1600000 SVM 0.0664062
25000 1800000 SVM 0.0722656
25000 2000000 SVM 0.078125
25000 200000 EMOGI 1.63086
25000 200000 GAT 2.04883
25000 200000 GCN 1.5625
25000 200000 MTGCN 2.13672
25000 200000 SVM 0.0371094
25000 3000000 SVM 0.107422
25000 400000 EMOGI 2.98633
25000 400000 GAT 3.85156
25000 400000 GCN 2.91211
25000 400000 MTGCN 3.85742
25000 400000 SVM 0.03125
25000 600000 EMOGI 4.35742
25000 600000 GAT 5.6582
25000 600000 GCN 4.27734
25000 600000 MTGCN 5.60547
25000 600000 SVM 0.0371094
25000 800000 EMOGI 5.74414
25000 800000 GAT 7.45898
25000 800000 GCN 5.63672
25000 800000 MTGCN 7.33789
25000 800000 SVM 0.0429688
30000 1000000 EMOGI 7.14844
30000 1000000 GAT 9.32422
30000 1000000 GCN 7.04492
30000 1000000 MTGCN 9.16797
30000 1000000 SVM 0.0507812
30000 1200000 GCN 8.37305
30000 1200000 MTGCN 7.35352
30000 1200000 SVM 0.0566406
30000 1400000 MTGCN 8.48633
30000 1400000 SVM 0.0625
30000 1600000 SVM 0.0683594
30000 1800000 SVM 0.0742188
30000 2000000 SVM 0.0800781
30000 200000 EMOGI 1.67773
30000 200000 GAT 2.09375
30000 200000 GCN 1.5957
30000 200000 MTGCN 2.19922
30000 200000 SVM 0.0390625
30000 3000000 SVM 0.109375
30000 400000 EMOGI 3.04883
30000 400000 GAT 3.88867
30000 400000 GCN 2.93945
30000 400000 MTGCN 3.92773
30000 400000 SVM 0.0332031
30000 600000 EMOGI 4.39844
30000 600000 GAT 5.68359
30000 600000 GCN 4.31055
30000 600000 MTGCN 7.14453
30000 600000 SVM 0.0390625
30000 800000 EMOGI 5.78125
30000 800000 GAT 7.50391
30000 800000 GCN 5.66992
30000 800000 MTGCN 9.33594
30000 800000 SVM 0.0449219
10000 1000000 EssSubgraph 0.115234375
10000 1200000 EssSubgraph 0.123046875
10000 1400000 EssSubgraph 0.138671875
10000 1600000 EssSubgraph 0.1640625
10000 1800000 EssSubgraph 0.1875
10000 200000 EssSubgraph 0.064453125
10000 400000 EssSubgraph 0.064453125
10000 600000 EssSubgraph 0.083984375
10000 800000 EssSubgraph 0.111328125
15000 1000000 EssSubgraph 0.115234375
15000 1200000 EssSubgraph 0.123046875
15000 1400000 EssSubgraph 0.138671875
15000 1600000 EssSubgraph 0.1484375
15000 1800000 EssSubgraph 0.171875
15000 200000 EssSubgraph 0.06640625
15000 400000 EssSubgraph 0.064453125
15000 600000 EssSubgraph 0.083984375
15000 800000 EssSubgraph 0.091796875
20000 1000000 EssSubgraph 0.12109375
20000 1200000 EssSubgraph 0.126953125
20000 1400000 EssSubgraph 0.14453125
20000 1600000 EssSubgraph 0.158203125
20000 1800000 EssSubgraph 0.162109375
20000 200000 EssSubgraph 0.078125
20000 400000 EssSubgraph 0.08203125
20000 600000 EssSubgraph 0.109375
20000 800000 EssSubgraph 0.10546875
25000 1000000 EssSubgraph 0.12109375
25000 1200000 EssSubgraph 0.12890625
25000 1400000 EssSubgraph 0.14453125
25000 1600000 EssSubgraph 0.169921875
25000 1800000 EssSubgraph 0.173828125
25000 200000 EssSubgraph 0.087890625
25000 400000 EssSubgraph 0.109375
25000 600000 EssSubgraph 0.11328125
25000 800000 EssSubgraph 0.123046875
30000 1000000 EssSubgraph 0.146484375
30000 1200000 EssSubgraph 0.13671875
30000 1400000 EssSubgraph 0.15234375
30000 1600000 EssSubgraph 0.16015625
30000 1800000 EssSubgraph 0.181640625
30000 200000 EssSubgraph 0.091796875
30000 400000 EssSubgraph 0.1171875
30000 600000 EssSubgraph 0.119140625
30000 800000 EssSubgraph 0.142578125
