filename,batch_size,size,mem_avg,epoch_time_avg,gpu_used_reserved_avg,num_epochs
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log2_size_30_25_10,4096,30_25_10,0.5002598762512207,4.126857328414917,0.681640625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log2_size_30_25_10,16384,30_25_10,0.5041661262512207,4.125337696075439,0.685546875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log2_size_60_50_20,32768,60_50_20,0.5627598762512207,4.355089926719666,0.744140625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log2_size_30_25_10,1024,30_25_10,0.4397130012512207,4.40018892288208,0.62109375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log2_size_30_25_10,262144,30_25_10,0.5041661262512207,4.13039014339447,0.685546875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log2_size_7680_6400_2560,4096,7680_6400_2560,0.5510411262512207,4.647255086898804,0.732421875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_120_100_40,8192,120_100_40,0.5549473762512207,4.435542178153992,0.736328125,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log2_size_60_50_20,16384,60_50_20,0.5490880012512207,4.327545976638794,0.73046875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_120_100_40,524288,120_100_40,0.6272130012512207,4.510007643699646,0.80859375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log2_size_120_100_40,4096,120_100_40,0.5490880012512207,4.484300994873047,0.73046875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_3840_3200_1280,8192,3840_3200_1280,0.5822911262512207,4.581036758422852,0.763671875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log2_size_60_50_20,4096,60_50_20,0.5354161262512207,4.289485430717468,0.716796875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_240_200_80,8192,240_200_80,0.5783848762512207,4.524373459815979,0.759765625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log2_size_960_800_320,131072,960_800_320,0.6336583137512207,4.616016387939453,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log2_size_3840_3200_1280,16384,3840_3200_1280,0.6459630012512207,4.650102972984314,0.82734375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log2_size_240_200_80,4096,240_200_80,0.5725255012512207,4.635824155807495,0.75390625,10
