"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","324/2197","499/18888",0.649298597194389,5.5821355957249,37.6352229614652,2.93273919534742e-182,1.47575436309882e-178,1.26632591361212e-178,"26574/6059/29777/103/166378/79029/54955/545/9790/23246/55299/84811/114049/705/128061/708/79577/51550/1207/10978/8161/11052/51340/1662/8886/11218/9188/9416/55661/7919/1654/11325/9879/51202/54555/317781/11056/79039/54606/8562/22907/57647/1660/27292/22894/1736/30836/29102/10969/79631/1964/8894/1968/8661/8662/8664/3646/8665/8666/8667/8668/8669/10480/9775/1983/9669/3692/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/51077/117246/54433/8487/50628/25929/79833/79760/54960/29889/54552/83743/2971/23560/55127/3320/27336/55272/92856/81875/57461/11103/81887/55341/57819/25804/11157/220064/84946/51747/84549/28985/23195/196074/79066/64745/10199/84769/51081/51154/26164/23517/10514/55226/4686/25983/55651/84365/51388/54475/51068/28987/26155/79050/79954/25926/65083/51406/55035/79707/9221/64434/55505/8602/51491/4839/29997/10528/51602/161424/121053/4869/10412/387338/11051/26747/4927/4931/5036/55003/22984/27043/23481/84844/5303/56902/5433/10775/51367/10248/56342/8575/10419/8559/27339/9129/26121/55015/24148/10594/10728/22827/11137/5822/83640/5901/51634/10171/83732/55781/80135/84154/6134/4736/6135/23521/9045/6147/6154/51121/6155/11224/6165/6169/6125/6128/6129/6130/6175/10556/10557/10799/6205/6206/6207/6208/6209/6210/6217/6223/91582/6227/6228/6229/6230/6191/6193/6194/6201/6202/6203/3921/54700/8568/23223/51018/88745/27341/9136/23212/26156/8607/10856/9092/9733/51119/55153/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6433/55164/10569/79753/23020/6627/6628/6629/6631/6632/6633/6634/6636/4809/153443/6426/10772/6431/8683/11171/6838/10607/64216/96764/55319/51504/55720/90121/10907/11338/9875/9816/57602/10713/51118/10813/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/134430/23160/9277/54853/54663/84128/79084/56949/7514/7520/22803/55702/91746/51042/26149/9326/54680/8233",324
"GO:0016072","GO:0016072","rRNA metabolic process","183/2197","266/18888",0.68796992481203,5.91459988158836,29.2867488601555,2.22296623087012e-108,3.72865535791281e-105,3.1995113961506e-105,"29777/9790/23246/2972/55299/114049/705/1662/1663/8886/9188/55661/51202/54555/317781/11056/79039/54606/57647/27292/22894/1736/29102/10969/9775/3692/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/51077/117246/54433/50628/2971/2975/2976/9330/9329/9328/23560/55127/55272/92856/64768/11103/81887/11157/84549/4141/196074/79066/10199/51154/2475/23517/55226/4691/25983/55651/84365/28987/79050/79954/25926/65083/51406/55035/79707/9221/55505/8602/4839/29997/10528/51602/161424/10412/387338/4931/5036/22984/53918/27043/23481/5303/84172/51082/64425/221830/10849/5434/10775/51367/10248/56342/11137/5822/10171/83732/55781/80135/84154/4736/6135/9045/6154/6155/11224/6165/6125/6129/6130/10556/10557/10799/6208/6209/6217/6223/6227/6229/6230/6194/6201/6202/8568/23223/51018/88745/27341/9136/23212/26156/9092/51119/163859/55164/6598/4809/153443/9014/10607/6949/64216/51504/55720/90121/9875/57602/51118/10813/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/134430/23160/9277/54853/54663/84128/54464/22803/9326/54680",183
"GO:0008380","GO:0008380","RNA splicing","250/2197","484/18888",0.516528925619835,4.44069110018545,27.8206705034756,4.33127062333143e-107,5.44873844415094e-104,4.6754926570804e-104,"22985/79026/10189/9716/79637/10286/84811/8896/708/79074/51759/58509/22794/57018/51362/988/51755/338657/9541/11129/1196/1207/10978/8161/51340/56259/57703/54883/143884/51163/11218/9416/7919/51428/11325/9879/51202/1655/1665/8449/9785/1659/1660/55192/11319/9343/10209/9775/56943/8220/5394/8487/50628/25929/79833/79760/54960/55094/27238/3178/144983/3183/3187/3190/3191/4670/3192/3312/27336/3550/57461/2648/84967/57819/27258/25804/23658/11157/51690/51691/51747/4116/57721/79066/56339/4236/10199/23517/4686/22916/4691/4869/55051/84081/4928/26986/94104/10081/84844/5356/5411/5430/10450/51645/23759/5511/5515/5518/151987/23398/79706/3276/10419/8899/8559/27339/9129/26121/84950/55119/55015/9128/55660/24148/10594/22827/10137/10432/84991/9904/55696/58517/55131/9584/79171/84060/83759/9939/27316/51634/494115/7737/55599/10921/6207/51493/51637/10284/9092/9733/58506/79005/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6421/6433/112869/54407/10569/10285/55234/79753/23020/79622/11017/11066/9410/154007/6625/6627/6628/6629/6631/6632/6633/6634/6636/4809/22938/6651/285672/10250/23524/6426/10772/9295/6427/6428/6431/6432/8683/11171/57794/10147/6830/25949/6881/6883/23435/10915/24144/96764/9984/57187/84321/8563/79228/80145/9967/6434/8295/80746/79042/283989/8458/10907/54957/7307/11338/59286/5976/10713/25962/51729/79084/84292/9589/56949/4904/55702/81576/91746/339487/23091/85437/153527/55954/91603/8882/9406/8233",250
"GO:0071826","GO:0071826","protein-RNA complex organization","138/2197","244/18888",0.565573770491803,4.8623383600588,22.0308383336034,1.94520440128191e-65,9.78826854725056e-63,8.39918784637725e-63,"29777/103/545/23246/55299/84811/79577/1207/10978/8161/11052/51340/11218/9416/7919/11325/9879/8562/22907/1659/1660/55192/8894/1968/8661/8662/8664/3646/8665/8666/8667/8668/8669/10480/1983/3692/8487/50628/25929/79833/79760/54960/3320/27336/57461/57819/25804/51747/28985/23195/51081/4686/54475/4839/29997/121053/11051/26747/84844/5433/56342/8575/10419/8559/27339/9129/26121/55015/24148/10594/10728/22827/5822/83640/51634/84154/6134/6135/23521/6147/6169/6125/6128/6175/6208/6209/6223/6193/3921/27341/23212/8607/10856/9092/9733/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6433/55164/10569/79753/23020/6627/6628/6629/6631/6632/6633/6634/6636/4809/6426/10772/6431/8683/11171/24144/96764/10907/11338/10713/7415/79084/56949/7520/55702/91746/9326/54680/8233",138
"GO:0002181","GO:0002181","cytoplasmic translation","109/2197","160/18888",0.68125,5.85682749203459,22.3832069042037,6.95851172218841e-64,2.91793591550434e-61,2.50384342845762e-61,"16/8562/170506/1660/1967/8892/8891/8890/8893/8894/1968/8661/8662/8664/3646/8665/8666/8667/8668/8669/10480/1973/1974/1981/1983/2107/2197/3192/79727/28985/56339/2475/4686/22916/26986/5315/10399/6134/4736/6135/6136/6137/23521/9045/6138/6139/6141/6142/6143/6144/6146/9349/6147/6152/6154/51121/6155/6157/6158/6122/6156/6160/6161/11224/6165/25873/6173/6167/6168/6169/6124/6125/6128/6129/6130/6132/6175/6176/6181/6204/6205/6206/6207/6208/6209/6210/6217/6222/6223/6187/6224/6227/6228/6229/6230/6233/6235/6188/6191/6193/6194/6201/6202/6203/3921/6301/7884/7311/4904",109
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","86/2197","103/18888",0.83495145631068,7.17822626617939,22.8103611922346,1.5455311273961e-63,5.9823943331209e-61,5.1334159389302e-61,"26574/29777/9790/705/128061/11056/57647/27292/30836/2068/5394/2091/51077/55127/55272/92856/11103/11157/84946/64745/10199/51081/55226/25983/28987/79954/25926/65083/51406/64434/8602/10528/51602/161424/4869/56902/5822/10171/83732/55781/10799/6205/6206/6207/6208/6209/6210/6217/6223/91582/6227/6228/6229/6230/6191/6193/6194/6201/6202/6203/3921/88745/27341/9136/23212/4809/153443/6838/10607/55720/90121/51118/84135/51096/27340/84294/27042/57050/84916/55813/10885/134430/23160/9277/84128/7520",86
"GO:0007059","GO:0007059","chromosome segregation","181/2197","423/18888",0.42789598108747,3.67869790203921,20.2150400125155,9.2765742322865e-61,3.33426582406183e-58,2.86109078953678e-58,"84142/60/86/10097/10096/64682/51529/25906/29882/29945/51433/196528/6790/9212/9031/56647/332/699/701/9184/51759/891/57820/8881/991/8697/996/998/990/113130/55143/983/81620/338657/1060/1062/64946/2491/64105/91687/79019/55839/80152/387103/55125/27243/51652/128866/79643/91782/9391/84191/51647/10664/8452/10540/1642/1654/5977/79980/1778/1894/10919/2068/9700/26271/2959/115106/55142/79441/54930/23354/54801/55559/93323/8841/55355/3192/3550/3619/54617/10524/10300/3832/9928/81930/146909/9493/24137/387893/57082/3837/26065/4085/9587/10459/284071/79003/54069/64210/440145/9918/23310/64151/54892/23397/29781/55706/10403/54820/25836/25936/286053/10726/83540/4926/348995/23636/11339/55795/5347/11243/5518/9055/56984/9232/29127/5885/5901/1104/55781/116028/100507650/6047/6188/23212/163786/81929/26054/151648/220134/348235/221150/292/8467/6598/6605/8243/10592/9126/10051/23137/79677/10615/147841/57405/54908/6491/10460/7013/11011/7150/7153/7156/7175/22974/7272/203068/7283/27175/10844/10426/27229/114791/85378/11065/7329/23063/7517/7756/11130",181
"GO:0006403","GO:0006403","RNA localization","109/2197","200/18888",0.545,4.68546199362767,19.0099450744626,1.23434524880921e-49,4.14081686133863e-47,3.55318190218623e-47,"25909/10189/545/22794/10576/7203/10575/22948/908/10574/10694/9793/11052/7919/170506/1660/1736/9775/1977/56943/5394/2091/2733/3178/144983/3192/3837/10128/4116/8888/4686/22916/55706/55651/65083/55505/51602/55051/57122/55746/9972/9631/23279/23165/8021/129401/348995/10762/53371/9818/23636/79902/4927/9688/4928/10204/10482/29107/8106/55795/51808/87178/9883/100101267/24148/8480/5901/5903/9939/51637/8607/10856/84324/6396/81929/55164/7884/23049/23381/23293/9887/10073/6426/6428/6432/6741/6830/6950/7013/9984/57187/84321/8563/79228/80145/9804/7175/5976/26019/65125/7514/57510/11260/4904/91746/7528/23144/9326/54680",109
"GO:0033044","GO:0033044","regulation of chromosome organization","121/2197","247/18888",0.489878542510121,4.21157301362366,18.4326176008179,2.03267120850096e-48,6.39275095073553e-46,5.485537695573e-46,"60/86/93973/64682/51529/25906/29882/29945/51433/196528/545/9212/9031/332/699/701/9184/891/10576/7203/10575/22948/908/10574/10694/8881/991/8697/996/990/55143/983/1017/1062/10664/8452/1663/170506/1736/5977/9700/5394/26271/2237/26354/54552/3178/3183/3192/3550/3619/54617/83444/10524/57082/4085/9587/10459/10445/4331/54737/4609/8260/55226/9918/23310/64151/54892/23397/29781/10403/286053/56160/54780/83540/4926/55795/5347/11284/5514/56984/5885/55781/116028/6047/51750/8607/10856/26054/8467/6598/6605/10592/10051/23137/79677/23049/23381/23293/147841/57405/54908/10460/6950/100134934/7013/26277/7153/7175/7272/11065/51377/5976/7874/23063/7517/7520/54464/7528/7756/11130",121
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","61/2197","74/18888",0.824324324324324,7.08686292118245,19.0337408265334,1.07829923332775e-44,3.0144454122807e-42,2.58665699129266e-42,"166378/79029/54955/23246/55299/51550/8886/22907/10969/3692/117246/2971/23560/81887/220064/84549/23195/51154/55651/84365/51388/54475/26155/79707/51491/4839/29997/4869/10412/4931/55003/23481/56342/80135/84154/6134/4736/6135/9045/6147/6154/51121/11224/6165/6125/6128/6129/6130/6175/51018/23212/26156/55153/4809/6838/55319/9875/55759/54663/9326/54680",61
