"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","386/3420","499/18888",0.773547094188377,4.27215132018423,34.8322923878973,1.59619972222533e-189,9.07758782029546e-186,7.50045848422514e-186,"25980/26574/6059/29777/103/166378/27161/192670/54955/472/545/9790/23246/55299/84811/705/128061/708/10421/79577/51550/1207/10978/8161/11052/79869/51340/8451/8450/25879/1653/1662/10521/8886/11218/9188/9416/55794/64794/7919/1654/11325/9879/51202/54555/11056/79039/54606/8562/57647/1660/23405/27292/22894/1736/30836/29102/10969/79631/1964/83939/1939/8894/1968/255308/8661/8662/8663/728689/8664/3646/8665/8666/8667/8668/8669/27335/51386/10480/9775/1983/9669/3692/26284/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/22868/2091/51077/2483/117246/54433/6936/8487/50628/25929/79833/79760/54960/29889/54552/83743/404672/2971/85865/23560/55127/55027/3320/3326/27336/55272/92856/57461/65095/11103/81887/55341/57819/25804/11157/220064/84946/51631/51747/55646/84549/115416/28985/100101490/23195/196074/79066/64745/10199/10200/84769/29960/55178/55052/51116/51081/51154/51001/130916/26164/23517/10514/55226/4686/25983/51335/55651/84365/51388/51068/84273/28987/26155/79050/79954/25926/65083/51406/55035/79707/9221/64434/55505/8602/4839/29997/10528/51602/161424/121053/4869/10412/63899/387338/55695/11051/26747/4927/4931/5036/55003/22984/27043/23481/84844/55011/56902/5433/10775/51367/10248/56342/5591/8575/10419/8559/27339/9129/26121/55015/24148/10594/10728/22827/11137/5822/83640/5901/79863/23029/51634/10171/83732/55781/8780/80135/84154/4736/140801/6135/23521/9045/6147/6154/51121/6155/11224/6165/6169/6125/6128/6129/6130/285855/6175/10556/10557/10799/6205/6206/6207/6208/6209/6210/6217/6218/6223/91582/6227/6228/6229/6230/51065/6191/6193/6194/6201/6202/6203/3921/113000/27079/84881/54700/8568/23223/51018/23076/88745/27341/23378/9136/23212/26156/51187/8607/10856/9092/9733/51119/55153/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6433/55164/10569/85395/6607/79753/23020/6627/6628/6629/6631/6632/6633/6634/6635/6636/6637/4809/153443/6732/6733/6426/10772/6430/6431/8683/11171/6838/6839/6880/6895/10607/51106/64216/96764/55319/51504/7248/55720/90121/10907/11338/9875/9816/10713/51118/10813/9724/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/23160/9277/54853/54663/84128/79084/56949/7514/7520/22803/54059/55702/91746/51042/90441/9326/54680/8233",386
"GO:0008380","GO:0008380","RNA splicing","308/3420","484/18888",0.636363636363636,3.51451355661882,26.3510552395216,4.3837279597561e-112,8.3100869690443e-109,6.86630232012323e-109,"25980/22985/79026/10189/9716/79637/10286/84811/8896/708/79074/51759/58509/22794/57805/57018/81669/10421/51362/988/51755/8621/9541/11129/1207/10978/8161/51340/56259/51503/57703/54883/10283/55280/143884/1653/10521/11218/9416/10212/7919/11325/9879/51202/1655/1665/8449/60625/9785/1659/1660/55192/9343/10209/9775/56943/5394/25940/283742/2483/2521/6936/8487/50628/25929/79833/79760/54960/55094/22927/3178/144983/3181/220988/3183/3185/3187/3188/3189/3190/3191/4670/10236/3192/11100/3312/27336/3550/57461/23210/2648/8570/51574/27257/84967/57819/27258/25804/23658/11157/51690/51691/51631/51747/4116/55110/57721/79066/56339/64863/4236/10199/23517/4686/22916/392517/4691/4841/4869/4928/26986/10081/84844/5356/5411/10450/10465/51645/23759/53938/5511/5515/5518/151987/23398/10084/9588/79706/3276/10419/8899/8559/27339/9129/26121/84950/55119/55015/9128/55660/24148/10594/22827/80324/54517/22913/8241/10432/64783/29890/84991/9904/55696/55147/58517/55131/9584/55285/79171/84060/10179/9939/27316/51634/7737/55599/10921/6100/6207/6231/84881/64121/23076/51319/51493/51637/10284/9092/9733/58506/79005/163859/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6421/6433/112869/54407/10569/6607/10285/55234/79753/23020/11017/11066/9410/154007/6625/6626/6627/6628/6629/6631/6632/6633/6634/6635/6636/6637/4809/22938/6651/6732/6733/10250/23524/6426/10772/9295/6427/6428/6429/6430/6431/6432/8683/11171/57794/6830/25949/10492/93624/10474/6881/6883/8148/27097/10629/6880/23435/10915/24144/96764/9984/57187/84321/8563/79228/80145/9967/7009/6434/8295/80746/79042/283989/8458/10907/54957/7307/199746/11338/59286/5976/65110/65109/79650/23326/10713/25962/51729/79084/84292/9589/56949/4904/55702/81576/91746/339487/23091/55596/85437/153527/55954/284695/91603/9406/8233",308
"GO:0016072","GO:0016072","rRNA metabolic process","211/3420","266/18888",0.793233082706767,4.38087323572088,26.1116313739749,1.62862694119049e-106,2.31550035363757e-103,1.91320806986166e-103,"29777/9790/23246/2972/55299/705/25879/1662/1663/10521/8886/9188/51202/54555/11056/79039/54606/57647/27292/22894/115752/1736/29102/10969/9775/3692/2068/51575/51013/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/51077/2483/117246/54433/50628/404672/2971/2975/2976/9330/9329/9328/112495/23560/55127/55272/92856/64768/65095/11103/81887/11157/55646/84549/4141/196074/79066/10199/10200/29960/55178/51154/130916/2475/23517/55226/4691/25983/55651/84365/28987/79050/79954/25926/65083/51406/55035/79707/9221/55505/8602/4839/29997/10528/51602/161424/10412/63899/387338/55695/4931/5036/22984/53918/27043/23481/55011/84172/51082/64425/221830/10849/5434/10775/51367/10248/56342/5591/11137/5822/79863/23029/10171/83732/55781/8780/80135/84154/4736/6135/9045/6154/6155/11224/6165/6125/6129/6130/285855/10556/10557/10799/6208/6209/6217/6218/6223/6227/6229/6230/6194/6201/6202/113000/27079/84881/8568/23223/51018/23076/88745/27341/23378/9136/23212/26156/9092/51119/163859/55164/85395/6597/6598/4809/10927/153443/6839/9014/10607/6949/51106/64216/79002/51504/55720/90121/9875/51118/10813/9724/84135/51096/27340/84294/27042/57050/84916/55813/51729/55759/57418/10885/23160/9277/54853/54663/84128/54464/22803/54059/9326/54680",211
"GO:0007059","GO:0007059","chromosome segregation","273/3420","423/18888",0.645390070921986,3.56436481274107,25.0814591272534,2.5150978861147e-101,2.38389361305572e-98,1.96971876554667e-98,"8086/60/86/10097/10096/192670/10270/64682/51529/25906/29882/29945/51433/51434/256006/324/8289/57492/259266/472/6790/9212/6795/9031/56647/9275/9274/8678/332/91272/29117/83990/699/701/9184/51759/891/9133/8881/991/8697/996/990/113130/55143/983/55755/81620/1060/1062/1063/64946/2491/55835/64105/91687/79019/55839/79172/401541/55166/378708/80152/79682/387103/201254/55125/79598/283489/11200/5119/57132/27243/51652/128866/51510/79643/91782/9391/84191/51647/23332/23122/1453/10664/8452/25879/10540/1642/1654/129563/9787/79980/1778/1894/10919/2068/157570/9700/2177/26271/348654/2959/83903/115106/55142/79441/54930/23354/54801/55559/93323/55355/3192/3550/3619/54617/10524/10300/3832/9928/81930/146909/3835/9493/3796/11004/24137/3833/57082/90417/9735/3837/26065/8379/4085/9587/10459/22919/10982/23383/254528/79003/54069/4288/4292/27030/64210/84057/4342/4361/4605/440145/79903/9918/23310/64151/54892/23397/29781/9611/55706/10403/54820/4751/25836/25936/286053/28989/10726/83540/4926/79023/348995/23636/51203/11339/55193/55795/54984/5347/11243/5518/9055/56979/29893/56984/84722/9232/23369/29127/5885/5901/29098/1104/55920/9400/387/55781/8780/116028/6047/6188/23212/29901/81929/151648/151246/22933/220134/348235/221150/292/6597/8467/56916/6598/6599/6601/6602/6603/6605/8243/10592/9126/10051/23137/79677/10615/147841/57405/54908/245711/152185/23626/6732/10274/10735/6491/10460/11044/7013/9874/11011/8658/7150/7153/7155/7156/8940/7175/22974/51112/9319/7272/203068/7283/10844/10426/114791/85378/11065/7329/7405/27183/9525/23063/9897/7517/7756/9183/55055/11130",273
"GO:0033044","GO:0033044","regulation of chromosome organization","178/3420","247/18888",0.720647773279352,3.97999857944456,22.1670240232365,6.90063896650122e-78,3.56763034568113e-75,2.94779448291497e-75,"60/86/93973/64682/51529/25906/29882/29945/51433/51434/324/8289/57492/472/545/546/9212/9031/9275/9274/8678/332/29117/699/701/9184/891/10576/7203/10575/22948/908/10574/10694/8881/991/8697/996/990/55143/983/1017/55755/1062/1063/80169/10664/1499/8452/167227/1663/170506/1736/9787/2067/2072/9700/5394/26271/2237/348654/26354/54552/83903/3178/3181/3183/3184/3192/3550/3619/54617/83444/283899/10524/57082/9735/8379/4085/9587/10459/5594/79648/10445/4331/4342/4361/4609/8260/79035/55226/4683/9918/23310/64151/54892/23397/29781/10403/4751/4798/197370/286053/56160/54780/83540/4926/142/55193/55795/80119/54984/5347/11284/5514/56984/5885/10111/55781/116028/6047/51750/8607/10856/9869/84250/548593/79008/84464/6597/8467/6598/6599/6601/6602/6603/6605/10592/10051/23137/79677/23049/23381/23293/147841/57405/54908/79991/10923/10460/6950/7013/7014/54386/29844/26277/8658/80351/7153/7175/51112/10155/9319/7272/11065/51377/5976/7874/23063/7515/7517/7520/54464/7528/7756/9183/55055/11130",178
"GO:0140053","GO:0140053","mitochondrial gene expression","139/3420","164/18888",0.847560975609756,4.68091570389388,22.2615777595538,1.24746004415516e-77,5.91192105925864e-75,4.8847909097444e-75,"57505/54998/708/51654/118487/28958/7818/55157/124454/60528/22868/2309/90480/2617/5188/85476/84340/3035/3028/55699/23395/10128/115416/64863/84769/65008/124995/65003/6182/28998/64928/29088/54948/63875/29074/9801/51069/55052/219927/29093/6150/79590/51264/10573/11222/51263/64983/9553/64981/51318/64979/51253/64978/54148/51073/64976/64975/28977/84545/65080/84311/26589/57129/51642/740/54534/51258/122704/116540/116541/128308/78988/3396/65005/55173/64963/6183/63931/64960/51021/51373/55168/28973/51023/51116/54460/56945/51649/64951/64432/64949/23107/28957/10240/51650/65993/60488/64969/51081/64965/51001/130916/92170/26164/4528/219402/55149/51250/54516/4701/51335/63899/87178/5442/9692/26024/55037/80324/55278/57038/81554/285367/84881/54938/6832/51204/80222/79736/7019/51106/64216/54931/57570/26995/10102/7284/56652/10352/51067",139
"GO:0071826","GO:0071826","protein-RNA complex organization","171/3420","244/18888",0.700819672131147,3.87049180327869,21.220672288803,8.63053691940991e-72,3.06761646629276e-69,2.53465242159512e-69,"25980/29777/103/27161/192670/472/545/23246/55299/84811/10421/79577/1207/10978/8161/11052/79869/51340/1653/11218/9416/55794/7919/11325/9879/8562/1659/1660/23405/55192/1939/8894/1968/255308/8661/8662/8663/728689/8664/3646/8665/8666/8667/8668/8669/27335/51386/10480/1983/3692/26284/23197/22868/6936/8487/50628/25929/79833/79760/54960/3320/3326/27336/57461/57819/25804/51631/51747/28985/100101490/23195/29960/55052/51081/4686/4839/29997/121053/11051/26747/84844/55011/5433/56342/5591/8575/10419/8559/27339/9129/26121/55015/24148/10594/10728/22827/5822/83640/51634/84154/140801/6135/23521/6147/6169/6125/6128/6175/6208/6209/6223/51065/6193/3921/27341/23212/8607/10856/9092/9733/7536/10291/8175/10946/23451/10992/23450/10262/83443/51639/6433/55164/10569/6607/79753/23020/6627/6628/6629/6631/6632/6633/6634/6635/6636/6637/4809/6732/6733/6426/10772/6430/6431/8683/11171/6880/6895/24144/96764/10907/11338/10713/7415/79084/56949/7520/55702/91746/9326/54680/8233",171
"GO:0002181","GO:0002181","cytoplasmic translation","130/3420","160/18888",0.8125,4.48728070175439,20.8294910714997,3.80226789851352e-68,1.2013054188248e-65,9.92592040875109e-66,"16/7555/132864/7812/8562/170506/1660/440275/1967/8892/8891/8890/8893/1939/8894/1968/255308/8661/8662/8663/728689/8664/3646/8665/8666/8667/8668/8669/27335/51386/10480/1973/1974/1981/1983/2107/2197/24140/3184/3192/79727/28985/100101490/56339/2475/4686/22916/9147/26986/10605/5315/10399/4736/6135/6136/6137/23521/9045/6138/6139/6141/6142/6143/6146/200916/9349/6147/6152/6154/51121/6155/6157/6158/6159/6122/6156/6160/6161/11224/6165/25873/6173/6167/6168/6169/6170/6124/6171/6125/6128/6129/6130/6132/6133/6175/6176/6181/6204/6205/6206/6207/6208/6209/6210/6217/6218/6222/6223/6187/6224/6227/6228/6229/6230/6231/6233/6235/6188/6191/6193/6194/6201/6202/6203/3921/6301/7884/10492/7311/4904",130
"GO:0006260","GO:0006260","DNA replication","181/3420","278/18888",0.651079136690647,3.59578442509151,20.5019559082482,5.57795256453347e-68,1.6695692755001e-65,1.37950029075221e-65,"86/93973/79915/545/546/580/641/259282/675/10498/993/8318/990/8317/983/1017/1025/1027/81620/378708/201254/10036/8208/1111/63922/54921/51550/80169/10926/80174/1663/1660/29980/79075/51514/1854/144455/1877/10919/146956/2021/114799/157570/55218/57697/84893/26271/2237/348654/9837/51659/64785/84296/51053/83743/23560/54617/83444/283899/22944/3978/3980/222229/6416/55388/4171/4172/4173/4174/4175/4176/84515/254394/79892/10445/64769/64863/253714/4361/80198/4673/4678/4683/4798/64318/4998/4999/23595/5000/5001/23594/142/9768/5111/23244/80119/11284/5422/23649/5424/5425/10714/5426/5427/54107/56655/5428/5429/11201/51426/27343/10721/5442/5515/5518/5557/5558/201973/5763/5884/10111/5888/5928/5930/5932/5965/9400/51455/5980/5981/5982/5983/5984/5985/55159/80010/116028/10535/6117/6118/6119/6240/50484/51750/8607/10856/163859/6418/25942/84464/8467/50485/9126/6742/6749/79991/346673/11198/7013/7014/29844/90381/8914/54962/7083/7126/4796/7150/11073/7270/56652/51377/5976/57695/23063/11169/57418/7465/7486/7528/91603",181
"GO:0006302","GO:0006302","double-strand break repair","193/3420","312/18888",0.618589743589744,3.41635177687809,20.2366591681789,5.83442162636178e-67,1.58001694233902e-64,1.30550667368817e-64,"60/86/10097/93973/8289/57492/472/91419/545/84126/9577/9275/9274/641/675/79184/29117/10902/83990/8318/8317/113130/1108/1111/11200/64858/1653/1663/55929/146956/57634/80314/26122/2067/2072/2073/157570/55218/2187/2177/57697/84893/2237/63979/2305/2521/348654/51659/84296/3014/3146/54969/3297/27336/3364/54556/58493/54617/65123/10524/23028/22992/51111/84787/3980/10459/54799/4171/4172/4173/4174/4175/4176/84515/254394/157777/64769/254528/4292/253714/10933/4361/55257/51149/4436/80198/64859/79035/4683/25836/197370/286053/56160/54780/4968/55611/79728/142/55193/51588/5347/11284/23126/5422/27343/27434/10721/5531/151987/5536/56979/5591/27339/10213/5885/10111/5888/10635/5890/5889/5892/5893/8438/5932/5965/9400/5980/55159/83695/80010/116028/165918/254225/9025/6117/6118/6119/51750/8607/10856/26168/29072/6421/119392/149840/54537/112441434/84250/548593/79008/84464/6597/56916/50485/6598/6599/6601/6602/6603/6605/23137/79677/23514/23626/126074/11044/54386/24144/8914/4796/7155/7156/11073/9319/8295/7334/56893/51720/7405/7415/6944/57599/55135/7486/7515/7516/7517/7518/7520/2547/8089/7528/23503",193
